Label, Count, Average
EM_Click_Waived_Under_MarginFilters_Ajax_getCountForDefaultFilters, 10, 8039
EM_Click_DeliveryReturn_Under_MarginFilters_Ajax_showActionBtn, 10, 389
EM_Click_CallRecall_Under_MarginFilters_Ajax_showActionBtn, 10, 365
Sys_GotoServerLogPage, 10, 275
EM_Click_DeliveryReturn_Under_MarginFilters_MAIN, 10, 9570
EM_Click_SubConfimation_Under_SubsititutionFilter_HTML, 10, 1
Sys_AddNewUser, 10, 718
Asset_GotoSecuritySearchPage, 10, 329
WS_RunDeltaFeedWebService, 10, 40256
EM_Click_Recall_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 193
Sys_SavePrivilegesOfTab_Reconciliation, 10, 1250
Org_GotoOrgGlobalPreferencePage_Ajax_getOrgSearchPageString, 10, 196
CD_GotoClearingDashboardPage_Ajax_getCountForFilters_trade, 10, 4440
EM_GotoAnyPageOf_Call_Under_MarginFilters_Ajax_showActionBtn, 10, 371
EM_GotoAnyPageOf_DynamicFilter_Under_MarginFilters, 10, 26534
Agmt_GotoEMPageForCurrentAgmt, 10, 1135
Sys_GotoEventLogSearchPage, 10, 372
EM_Click_PartiallyBooked_Under_SubsititutionFilter_MAIN, 10, 557
EM_Click_Disputes_Under_MarginFilters_Ajax_showActionBtn, 10, 355
EM_GotoAnyPageOf_NoCalls_UnderMarginFilters_HTML, 10, 1
Collateral_Config_ViewLetterConfigToAnyTab, 10, 449
CD_Click_DynamicFilter_On_Trade_Tab_HTML, 10, 1
EM_Click_DynamicFilter_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 190
EM_Click_Call_Under_MarginFilters_HTML, 10, 1
Wf_SearchIMArchiveByMonthRange, 10, 92966
EM_Click_NoCalls_Under_MarginFilters_HTML, 10, 1
MkDt_GotoFXRatePage, 2, 3473
StDt_ApproveEligRuleTemplate, 20, 21401
Agmt_DownloadAgmtToPDF, 20, 599
Wf_ApproveAllEligRuleOnApprovalsManager, 1, 320
Opt_GetFilterAssetRulesId, 10, 206
Agmt_GotoPrinSearchFramePage, 10, 412
Wf_SearchInternalReviewByDefaultFilter, 10, 18153
Agmt_SearchAgmt, 10, 1710
EM_Click_Waived_Under_MarginFilters_Ajax_showActionBtnByFilter, 20, 184
Org_GotoAddOrgPage_MAIN, 10, 339
EM_Click_Completed_Under_SubstitutionFilters_MAIN, 10, 2871
Asset_SaveEquityNewInstrument, 10, 1809
Agmt_GotoAgreementReviewPage, 10, 968
EM_Click_Issued_Under_MarginFilters_HTML, 10, 1
Agmt_SaveTabPartyCounterparty, 10, 931
EM_GotoAnyPageOf_SubRequest_Under_SubtitutionFilters, 10, 7837
Sys_SearchEventLog, 10, 548
Org_GotoOrgAddAddressPage_HTML, 20, 1
EM_GotoAnyPageOf_Disputes_UnderMarginFilters_HTML, 10, 1
EM_Click_Delivery_Under_MarginFilters_HTML, 10, 1
EM_GotoAnyPageOfIssuedUnderMarginFilters, 10, 10767
EM_Click_SubRequest_Under_SubsititutionFilter_MAIN, 10, 10136
